Crm Cd,Part 1-2,Crm Cd Desc
649,2,DOCUMENT FORGERY / STOLEN FELONY
822,2,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
890,2,FAILURE TO YIELD
121,1,"RAPE, FORCIBLE"
924,2,TELEPHONE PROPERTY - DAMAGE
933,2,PROWLER
652,2,DOCUMENT WORTHLESS ($200 & UNDER)
654,2,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
821,1,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
882,2,INCITING A RIOT
648,1,ARSON
350,1,"THEFT, PERSON"
480,1,BIKE - STOLEN
